#  Contiguous U.S. Maximum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
193208,85.77
193209,78.39
193210,64.72
193211,52.59
193212,39.49
193301,44.92
193302,41.4
193303,53.26
193304,62.33
193305,71.91
193306,85.91
193307,88.72
193308,84.9
193309,80.69
193310,68.56
193311,54.68
193312,47.37
193401,45.68
193402,46.18
193403,55.92
193404,67.14
193405,79.21
193406,84.33
193407,90.52
193408,86.97
193409,76.91
193410,69.71
193411,55.89
193412,42.4
193501,42.17
193502,47.01
193503,55
193504,61.02
193505,68.88
193506,80.42
193507,88.3
193508,86.13
193509,78.22
193510,66.87
193511,49.68
193512,40.23
193601,37.56
193602,36.25
193603,55.49
193604,63.28
193605,77.11
193606,84.58
193607,90.81
193608,88.29
193609,79.25
193610,66.11
193611,51.93
193612,44.33
193701,34.93
193702,42.49
193703,49.71
193704,62.2
193705,75.34
193706,81.39
193707,87.84
193708,88.21
193709,79.07
193710,66.27
193711,51.62
193712,41.95
193801,42.13
193802,46.22
193803,56.17
193804,64.04
193805,72.05
193806,81.52
193807,86.61
193808,87.28
193809,79.97
193810,69.98
193811,51.87
193812,44.56
193901,44.01
193902,41.56
193903,54.77
193904,64.54
193905,76.44
193906,81.52
193907,88.56
193908,86.36
193909,81.19
193910,67.89
193911,54.93
193912,48.83
194001,33.57
194002,43.43
194003,52.9
194004,62.17
194005,74.53
194006,82.94
194007,87.55
194008,85.23
194009,78.12
194010,69.22
194011,49.28
194012,45.64
194101,41.54
194102,43.61
194103,50.31
194104,63.59
194105,75.22
194106,79.79
194107,86.88
194108,84.7
194109,76.89
194110,66.15
194111,54.39
194112,45.66
194201,40.82
194202,41
194203,52.92
194204,65.82
194205,71.53
194206,80.26
194207,87.28
194208,84.52
194209,76.78
194210,67.42
194211,54.75
194212,42.82
194301,40.33
194302,48.94
194303,50.68
194304,65.98
194305,72.18
194306,81
194307,87.73
194308,86.95
194309,78.35
194310,66.92
194311,52.92
194312,42.93
194401,42.91
194402,45.09
194403,49.77
194404,60.76
194405,74.95
194406,80.91
194407,86.54
194408,85.55
194409,78.39
194410,69.31
194411,50.88
194412,40.71
194501,40.44
194502,45.77
194503,57.49
194504,62.53
194505,71.15
194506,78.22
194507,86.05
194508,85.24
194509,77.92
194510,67.1
194511,53.28
194512,38.84
194601,41.95
194602,47.25
194603,58.84
194604,68.02
194605,71.24
194606,81.55
194607,87.13
194608,84.18
194609,77.4
194610,65.07
194611,52.18
194612,46.78
194701,42.31
194702,43.11
194703,50.11
194704,63
194705,73.18
194706,78.82
194707,86.49
194708,87.22
194709,80.19
194710,71.4
194711,47.52
194712,42.96
194801,38.98
194802,42.48
194803,50
194804,66.02
194805,73.18
194806,81.5
194807,86.29
194808,85.48
194809,80.01
194810,66.96
194811,52.16
194812,42.73
194901,35.73
194902,42.93
194903,51.71
194904,65.08
194905,74.52
194906,81.93
194907,87.06
194908,85.62
194909,77.05
194910,65.95
194911,58.42
194912,44.1
195001,41.32
195002,47.1
195003,50.52
195004,61.16
195005,72.23
195006,81.12
195007,83.61
195008,83.5
195009,75.51
195010,70.7
195011,52.63
195012,43.75
195101,41.13
195102,46.08
195103,50.07
195104,62.04
195105,73.99
195106,79.29
195107,86.86
195108,84.85
195109,77.41
195110,65.97
195111,48.94
195112,41.38
195201,42.28
195202,46.2
195203,48.22
195204,64.51
195205,73.69
195206,84
195207,87.82
195208,86.13
195209,80.4
195210,68.65
195211,51.46
195212,42.75
195301,46.83
195302,47.21
195303,55.33
195304,60.75
195305,71.31
195306,83.35
195307,87.42
195308,85.57
195309,81.36
195310,70.32
195311,55.56
195312,43.93
195401,41.72
195402,53.83
195403,50.72
195404,67.19
195405,71.44
195406,81.82
195407,89.26
195408,85.3
195409,80.1
195410,67.21
195411,56.05
195412,44.47
195501,39.27
195502,42.37
195503,52.32
195504,65.57
195505,74.25
195506,79.39
195507,87.21
195508,87.17
195509,79.52
195510,68.7
195511,49.69
195512,41.88
195601,41.14
195602,43.23
195603,53.47
195604,62.11
195605,74.64
195606,83.93
195607,86.16
195608,85.26
195609,79.92
195610,69.4
195611,52.29
195612,47.26
195701,37.17
195702,48.52
195703,51.98
195704,62.08
195705,71.17
195706,80.96
195707,87.49
195708,84.78
195709,77.34
195710,62.22
195711,49.86
195712,47.75
195801,41.77
195802,42.1
195803,46.76
195804,62.02
195805,76.01
195806,80.49
195807,85.03
195808,86.63
195809,77.94
195810,67.82
195811,54.59
195812,43.32
195901,40.46
195902,43.23
195903,53.76
195904,64.49
195905,73.11
195906,82.98
195907,87.04
195908,85.98
195909,77.04
195910,64.83
195911,50.74
195912,45.91
196001,38.75
196002,40.44
196003,47.19
196004,65.3
196005,72.37
196006,82.36
196007,87.48
196008,85.26
196009,79.77
196010,67.24
196011,54.03
196012,40.69
196101,41.23
196102,48.49
196103,54.39
196104,60.98
196105,71.67
196106,82.99
196107,86.27
196108,85.5
196109,75.65
196110,66.96
196111,50.79
196112,40.68
196201,37.83
196202,45.66
196203,48.9
196204,64.96
196205,74.89
196206,80.62
196207,84.96
196208,85.98
196209,77.02
196210,68.43
196211,54
196212,44.1
196301,35.91
196302,46.17
196303,56.08
196304,64.13
196305,73.94
196306,81.34
196307,86.81
196308,84.9
196309,79.23
196310,73.45
196311,55.29
196312,38.32
196401,42.89
196402,43.39
196403,50.85
196404,63.39
196405,74.39
196406,80.65
196407,87.87
196408,83.61
196409,76.57
196410,67.91
196411,53.51
196412,41.7
196501,42.35
196502,44.22
196503,46.6
196504,63.52
196505,73.38
196506,79.03
196507,85.41
196508,83.75
196509,73.27
196510,68.74
196511,55.49
196512,45.72
196601,36.37
196602,41.9
196603,55.49
196604,62.37
196605,73.8
196606,81.14
196607,88.38
196608,83.55
196609,77.09
196610,66.31
196611,54.48
196612,42.6
196701,43.88
196702,44.98
196703,55.8
196704,62.8
196705,70.47
196706,79.48
196707,85.24
196708,84.61
196709,77
196710,67.06
196711,52.61
196712,41.79
196801,39.29
196802,43.83
196803,55.94
196804,63.18
196805,70.61
196806,81.3
196807,85.75
196808,82.71
196809,77.13
196810,67.46
196811,50.95
196812,40.14
196901,38.91
196902,42.48
196903,47.5
196904,65.26
196905,74.7
196906,79.11
196907,86.74
196908,86.85
196909,78.21
196910,62.08
196911,53.19
196912,43.11
197001,37.24
197002,47.37
197003,49.28
197004,61.36
197005,74.37
197006,81.52
197007,87.17
197008,86.83
197009,77.25
197010,64.04
197011,51.8
197012,44.1
197101,39.97
197102,44.58
197103,51.57
197104,63.46
197105,71.17
197106,82.33
197107,85.48
197108,85.01
197109,76.62
197110,66.61
197111,52.14
197112,43.23
197201,40.95
197202,45.25
197203,56.66
197204,63.45
197205,73.42
197206,81.05
197207,84.92
197208,84.36
197209,76.6
197210,63.39
197211,47.41
197212,39.4
197301,39.34
197302,44.02
197303,54.27
197304,60.22
197305,72.19
197306,81.79
197307,86.14
197308,85.69
197309,76.33
